ensembl_gene_id	ensembl_peptide_id	hgnc_symbol
ENSG00000261657	ENSP00000456546	SLC25A26
ENSG00000261657	ENSP00000457004	SLC25A26
ENSG00000261657	ENSP00000456312	SLC25A26
ENSG00000261657	ENSP00000456306	SLC25A26
ENSG00000261530	ENSP00000455676	BTC
ENSG00000261530	ENSP00000454448	BTC
ENSG00000260334	ENSP00000455919	GAST
ENSG00000261125	ENSP00000456403	HAP1
ENSG00000261125	ENSP00000454808	HAP1
ENSG00000261125	ENSP00000454522	HAP1
ENSG00000261125	ENSP00000455133	HAP1
ENSG00000261125	ENSP00000455978	HAP1
ENSG00000261125	ENSP00000454909	HAP1
ENSG00000261125	ENSP00000456169	HAP1
ENSG00000261577	ENSP00000454630	JUP
ENSG00000261577	ENSP00000456867	JUP
ENSG00000261577	ENSP00000457186	JUP
ENSG00000261577	ENSP00000455782	JUP
ENSG00000261577	ENSP00000456770	JUP
ENSG00000261577	ENSP00000455424	JUP
ENSG00000261577	ENSP00000454917	JUP
ENSG00000261577	ENSP00000456298	JUP
ENSG00000261163	ENSP00000454226	
ENSG00000261163	ENSP00000458002	
ENSG00000261258	ENSP00000456130	FKBP10
ENSG00000261258	ENSP00000454310	FKBP10
ENSG00000261258	ENSP00000455335	FKBP10
ENSG00000261258	ENSP00000456255	FKBP10
ENSG00000188403	ENSP00000474639	IGHV1OR15-9
ENSG00000259490	ENSP00000474509	IGHV3OR15-7
ENSG00000270961	ENSP00000473849	IGHD5OR15-5A
ENSG00000271317	ENSP00000474693	IGHD4OR15-4A
ENSG00000270783	ENSP00000474133	IGHD3OR15-3A
ENSG00000271197	ENSP00000474065	IGHD2OR15-2A
ENSG00000271336	ENSP00000473787	IGHD1OR15-1A
ENSG00000260753	ENSP00000458071	NT5C3B
ENSG00000260753	ENSP00000454820	NT5C3B
ENSG00000260753	ENSP00000456492	NT5C3B
ENSG00000260753	ENSP00000454620	NT5C3B
ENSG00000260753	ENSP00000455384	NT5C3B
ENSG00000260753	ENSP00000455373	NT5C3B
ENSG00000260753	ENSP00000456113	NT5C3B
ENSG00000215405	ENSP00000398615	GOLGA6L6
ENSG00000268343	ENSP00000470218	
ENSG00000169861	ENSP00000303034	IGHV1OR21-1
ENSG00000169861	ENSP00000453358	IGHV1OR21-1
ENSG00000261631	ENSP00000455570	KLHL10
ENSG00000261631	ENSP00000454897	KLHL10
ENSG00000261631	ENSP00000458120	KLHL10
ENSG00000230031	ENSP00000454944	POTEB2
ENSG00000230031	ENSP00000456953	POTEB2
ENSG00000259896	ENSP00000457872	KLHL11
ENSG00000270824	ENSP00000473700	IGHD5OR15-5B
ENSG00000270451	ENSP00000475053	IGHD4OR15-4B
ENSG00000271255	ENSP00000474573	IGHD3OR15-3B
ENSG00000271305	ENSP00000474017	IGHD2OR15-2B
ENSG00000138593	ENSP00000454144	SECISBP2L
ENSG00000138593	ENSP00000453854	SECISBP2L
ENSG00000138593	ENSP00000261847	SECISBP2L
ENSG00000138593	ENSP00000370314	SECISBP2L
ENSG00000138593	ENSP00000452987	SECISBP2L
ENSG00000270185	ENSP00000474222	IGHD1OR15-1B
ENSG00000268531	ENSP00000472922	
ENSG00000233917	ENSP00000457443	POTEB
ENSG00000233917	ENSP00000457689	POTEB
ENSG00000166157	ENSP00000298232	TPTE
ENSG00000166157	ENSP00000355208	TPTE
ENSG00000166157	ENSP00000344441	TPTE
ENSG00000166157	ENSP00000399471	TPTE
ENSG00000260245	ENSP00000455275	ACLY
ENSG00000260245	ENSP00000456811	ACLY
ENSG00000260703	ENSP00000455107	TTC25
ENSG00000260703	ENSP00000455078	TTC25
ENSG00000260703	ENSP00000458114	TTC25
ENSG00000260703	ENSP00000455017	TTC25
ENSG00000256715	ENSP00000444145	
ENSG00000166351	ENSP00000299443	POTED
ENSG00000260283	ENSP00000457200	CNP
ENSG00000260283	ENSP00000454542	CNP
ENSG00000260283	ENSP00000457102	CNP
ENSG00000269011	ENSP00000473030	
ENSG00000168675	ENSP00000465244	LDLRAD4
ENSG00000168675	ENSP00000382741	LDLRAD4
ENSG00000168675	ENSP00000352420	LDLRAD4
ENSG00000168675	ENSP00000465573	LDLRAD4
ENSG00000168675	ENSP00000466490	LDLRAD4
ENSG00000168675	ENSP00000466178	LDLRAD4
ENSG00000168675	ENSP00000466772	LDLRAD4
ENSG00000168675	ENSP00000474783	LDLRAD4
ENSG00000168675	ENSP00000466771	LDLRAD4
ENSG00000168675	ENSP00000354753	LDLRAD4
ENSG00000262684	ENSP00000460089	DNAJC7
ENSG00000262684	ENSP00000461130	DNAJC7
ENSG00000188992	ENSP00000343331	LIPI
ENSG00000188992	ENSP00000383072	LIPI
ENSG00000188992	ENSP00000440381	LIPI
ENSG00000185272	ENSP00000383421	RBM11
ENSG00000182974	ENSP00000329467	OR4M2
ENSG00000260770	ENSP00000457014	NKIRAS2
ENSG00000260770	ENSP00000463925	NKIRAS2
ENSG00000260770	ENSP00000455221	NKIRAS2
ENSG00000260770	ENSP00000456949	NKIRAS2
ENSG00000260770	ENSP00000457286	NKIRAS2
ENSG00000260770	ENSP00000463585	NKIRAS2
ENSG00000260770	ENSP00000458054	NKIRAS2
ENSG00000260770	ENSP00000457265	NKIRAS2
ENSG00000260770	ENSP00000462262	NKIRAS2
ENSG00000183706	ENSP00000332500	OR4N4
ENSG00000270505	ENSP00000474284	IGHV1OR15-1
ENSG00000269182	ENSP00000471314	
ENSG00000259261	ENSP00000473987	IGHV4OR15-8
ENSG00000155304	ENSP00000285667	HSPA13
ENSG00000155304	ENSP00000441986	HSPA13
ENSG00000260320	ENSP00000454663	ZNF385C
ENSG00000260320	ENSP00000454871	ZNF385C
ENSG00000197414	ENSP00000452626	GOLGA6L1
ENSG00000197414	ENSP00000320207	GOLGA6L1
ENSG00000260178	ENSP00000455290	DHX58
ENSG00000260178	ENSP00000458038	DHX58
ENSG00000260178	ENSP00000455679	DHX58
ENSG00000166200	ENSP00000453546	COPS2
ENSG00000166200	ENSP00000373553	COPS2
ENSG00000166200	ENSP00000299259	COPS2
ENSG00000166200	ENSP00000443664	COPS2
ENSG00000166200	ENSP00000452944	COPS2
ENSG00000166200	ENSP00000453412	COPS2
ENSG00000155307	ENSP00000383409	SAMSN1
ENSG00000155307	ENSP00000383411	SAMSN1
ENSG00000155307	ENSP00000285670	SAMSN1
ENSG00000259958	ENSP00000456712	KAT2A
ENSG00000259958	ENSP00000462867	KAT2A
ENSG00000243440	ENSP00000401381	
ENSG00000243440	ENSP00000383407	
ENSG00000260325	ENSP00000458018	HSPB9
ENSG00000261378	ENSP00000457972	RAB5C
ENSG00000261378	ENSP00000455563	RAB5C
ENSG00000261378	ENSP00000456214	RAB5C
ENSG00000261378	ENSP00000457540	RAB5C
ENSG00000261378	ENSP00000458029	RAB5C
ENSG00000153575	ENSP00000283645	TUBGCP5
ENSG00000153575	ENSP00000409217	TUBGCP5
ENSG00000153575	ENSP00000453810	TUBGCP5
ENSG00000153575	ENSP00000453197	TUBGCP5
ENSG00000180530	ENSP00000383060	NRIP1
ENSG00000180530	ENSP00000383063	NRIP1
ENSG00000180530	ENSP00000412114	NRIP1
ENSG00000180530	ENSP00000327213	NRIP1
ENSG00000137824	ENSP00000260385	RMDN3
ENSG00000137824	ENSP00000453357	RMDN3
ENSG00000137824	ENSP00000342493	RMDN3
ENSG00000137824	ENSP00000453535	RMDN3
ENSG00000137824	ENSP00000453978	RMDN3
ENSG00000137824	ENSP00000453199	RMDN3
ENSG00000261371	ENSP00000457421	PECAM1
ENSG00000261371	ENSP00000455663	PECAM1
ENSG00000261371	ENSP00000455931	PECAM1
ENSG00000261371	ENSP00000457218	PECAM1
ENSG00000259458	ENSP00000454033	
ENSG00000259458	ENSP00000453061	
ENSG00000263304	ENSP00000459467	MILR1
ENSG00000263304	ENSP00000464339	MILR1
ENSG00000263304	ENSP00000464184	MILR1
ENSG00000263304	ENSP00000461976	MILR1
ENSG00000137880	ENSP00000260447	GCHFR
ENSG00000137880	ENSP00000454067	GCHFR
ENSG00000137880	ENSP00000453871	GCHFR
ENSG00000137880	ENSP00000454195	GCHFR
ENSG00000137880	ENSP00000453640	GCHFR
ENSG00000262917	ENSP00000460705	POLG2
ENSG00000262917	ENSP00000464243	POLG2
ENSG00000104129	ENSP00000220496	DNAJC17
ENSG00000104129	ENSP00000453354	DNAJC17
ENSG00000104129	ENSP00000452716	DNAJC17
ENSG00000104129	ENSP00000473912	DNAJC17
ENSG00000104129	ENSP00000453298	DNAJC17
ENSG00000104129	ENSP00000454082	DNAJC17
ENSG00000177150	ENSP00000323635	FAM210A
