Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
A1BG,0.172769761,0.269739336,0.142211078,0,0.041409462,0.373870363
A1BG-AS1,0.469352486,0.105040111,0,0.004471564,0.127712705,0.293423134
A2M,0.703006548,0.014999354,0.003014808,0.000688623,0,0.278290667
A2ML1,0.758804071,0.014103657,0,0.001028364,0.018638772,0.207425136
A2ML1-AS1,0.097593209,0.212406096,0.062586897,4.50E-08,0.165783803,0.461629951
AAAS,0.123660737,0.329987388,0.132258368,0.008395761,0.16906552,0.236632225
AACS,0.758421545,0.020474573,0.000844433,0.002651677,0.093648633,0.123959139
AAGAB,0.280078057,0.007293596,0.014567217,0,0.212157667,0.485903464
AAK1,0.797832374,0.0349139,0,0,0.067781051,0.099472676
AAMDC,0.551472695,0.038288567,0.007172162,9.75E-11,0.115080277,0.287986299
AAMP,0.012602192,0.538385609,0.068069741,0,0.207488084,0.173454375
AAR2,0.126195246,0.045653667,0,0.000991179,0.150625035,0.676534872
AARS,0.160018565,0.304947085,0,3.45E-08,0.23782391,0.297210406
AARSD1,0.086767441,0.366468169,3.07E-11,0,0.269740448,0.277023942
AASDH,0.479115379,0.170027762,0,0,0.138841897,0.212014962
AASDHPPT,0.082571187,0.109684611,0.490836806,0.009657842,0.123385458,0.183864096
AATF,0.583425962,0.057472234,0.008024452,1.28E-09,0.038242699,0.312834653
AATK,0.729312292,0.043042452,7.35E-11,2.39E-11,0.022412091,0.205233165
ABCA1,0.626037952,0.006947885,0,8.06E-11,0.059843143,0.307171021
ABCA10,0.640477495,0.088005051,0.088053014,2.67E-05,0.064765637,0.118672078
ABCA12,0.336771792,0.051248654,0.000936646,3.50E-10,0.062880078,0.548162829
ABCA2,0.776547872,0.03384826,3.27E-11,0,0.005714435,0.183889434
ABCA3,0.3891378,0.190276579,0,0.014650479,0.201858768,0.204076374
ABCA5,0.817649112,0.013938696,0.010080448,7.48E-11,0.0729039,0.085427844
ABCA6,0.582359112,0.03883167,0.025539126,7.08E-11,0.056004517,0.297265574
ABCA7,0.241345035,0.177114705,2.97E-10,3.70E-10,0.276528089,0.305012171
ABCA8,0.878835767,0.00138206,0.000429672,0.000275012,0.002523941,0.116553547
ABCB1,0.228944064,0.043702449,0,0,0.191008253,0.536345234
ABCB9,0.587640454,0.056132907,2.08E-09,0.015456822,0.167621248,0.173148567
ABCC1,0.685311701,0.0542902,0.010126835,6.24E-05,0.085311361,0.164897519
ABCC10,0.068969853,0.224425719,0,0.01021999,0.297122245,0.399262194
