Drug_id,Disease,Gene_name,CellType,Individual
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DOXAZOSIN,Substance Use Disorders,ADRA1A,0.888266949,0.00929555
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
SERTINDOLE,Schizophrenia,ADRA1A,0.888266949,0.00929555
SERTINDOLE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
TRIMIPRAMINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
TRIMIPRAMINE,Schizophrenia,ADRA1A,0.888266949,0.00929555
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1A,0.888266949,0.00929555
NOREPINEPHRINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
EPINEPHRINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DOXAZOSIN,Substance Use Disorders,ADRA1B,0.877555068,0.018432789
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
SERTINDOLE,Schizophrenia,ADRA1B,0.877555068,0.018432789
SERTINDOLE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
TRIMIPRAMINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
TRIMIPRAMINE,Schizophrenia,ADRA1B,0.877555068,0.018432789
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1B,0.877555068,0.018432789
NOREPINEPHRINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
EPINEPHRINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
LITHIUM CARBONATE,Major Depressive Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Bipolar Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Schizophrenia,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Alzheimer’s Disease,IMPA1,0.403569424,0.058128175
LITHIUM CITRATE,Bipolar Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Major Depressive Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Bipolar Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Schizophrenia,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3A,0.129295391,0.144644693
LITHIUM CITRATE,Bipolar Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Major Depressive Disorder,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Bipolar Disorder,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Schizophrenia,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3B,0.395182711,0.12790721
LITHIUM CITRATE,Bipolar Disorder,GSK3B,0.395182711,0.12790721
TIDEGLUSIB,Alzheimer’s Disease,GSK3B,0.395182711,0.12790721
SUVOREXANT,Alzheimer’s Disease,HCRTR2,0.52467614,0.039772
SELTOREXANT,Alzheimer’s Disease,HCRTR2,0.52467614,0.039772
METHOTREXATE,Schizophrenia,DHFR,0.090279499,0.184947741
PITOLISANT,Schizophrenia,HRH3,0.587334287,0.055243758
PITOLISANT,Substance Use Disorders,HRH3,0.587334287,0.055243758
ABT-288,Schizophrenia,HRH3,0.587334287,0.055243758
ABT-288,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
BETAHISTINE,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
GSK239512,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
GSK239512,Schizophrenia,HRH3,0.587334287,0.055243758
BAVISANT,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
PF-03654746,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
PF-03654746,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
PF-03654746,Schizophrenia,HRH3,0.587334287,0.055243758
MK-0249,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
MK-0249,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
MK-0249,Schizophrenia,HRH3,0.587334287,0.055243758
CARVEDILOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRB1,0.550161652,0.045219129
NOREPINEPHRINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
EPINEPHRINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PINDOLOL,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Substance Use Disorders,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Anxiety Disorder,ADRB1,0.550161652,0.045219129
ATENOLOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
DOPAMINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PREDNISOLONE,Schizophrenia,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Bipolar Disorder,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Alzheimer’s Disease,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Post Traumatic Stress Disorder,NR3C1,0.671369743,0.080677179
ORG-34517,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
HYDROCORTISONE ACETATE,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
PREDNISONE,Alzheimer’s Disease,NR3C1,0.671369743,0.080677179
MINAPRINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Schizophrenia,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
TRIMIPRAMINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
TRIMIPRAMINE,Schizophrenia,HTR2A,0.825905865,0.028362855
BLONANSERIN,Schizophrenia,HTR2A,0.825905865,0.028362855
CHLORPROMAZINE,Schizophrenia,HTR2A,0.825905865,0.028362855
NEFAZODONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
OLANZAPINE,Eating Disorders,HTR2A,0.825905865,0.028362855
OLANZAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
OLANZAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
OLANZAPINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
LOXAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
