Drug_id,Disease,Gene_name
CLONIDINE,Attention Deficit Hyperactivity Disorder,ADRA2A
CLONIDINE,Autism Spectrum Disorder,ADRA2A
CLONIDINE,Substance Use Disorders,ADRA2A
CLONIDINE,Post Traumatic Stress Disorder,ADRA2A
CLONIDINE,Anxiety Disorder,ADRA2A
DEXMEDETOMIDINE,Schizophrenia,ADRA2A
DEXMEDETOMIDINE,Autism Spectrum Disorder,ADRA2A
DEXMEDETOMIDINE,Substance Use Disorders,ADRA2A
DEXMEDETOMIDINE,Alzheimer’s Disease,ADRA2A
DEXMEDETOMIDINE,Anxiety Disorder,ADRA2A
IDAZOXAN,Major Depressive Disorder,ADRA2A
IDAZOXAN,Alzheimer’s Disease,ADRA2A
GUANFACINE,OCD & Tourette Syndrome,ADRA2A
GUANFACINE,Attention Deficit Hyperactivity Disorder,ADRA2A
GUANFACINE,Alzheimer’s Disease,ADRA2A
GUANFACINE,Post Traumatic Stress Disorder,ADRA2A
GUANFACINE,Substance Use Disorders,ADRA2A
MIRTAZAPINE,Major Depressive Disorder,ADRA2A
MIRTAZAPINE,Substance Use Disorders,ADRA2A
MIRTAZAPINE,Schizophrenia,ADRA2A
MIRTAZAPINE,Autism Spectrum Disorder,ADRA2A
MIRTAZAPINE,Anxiety Disorder,ADRA2A
LOFEXIDINE,Substance Use Disorders,ADRA2A
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA2A
NOREPINEPHRINE,Major Depressive Disorder,ADRA2A
EPINEPHRINE,Substance Use Disorders,ADRA2A
EPINEPHRINE,Major Depressive Disorder,ADRA2A
CLONIDINE,Attention Deficit Hyperactivity Disorder,ADRA2C
CLONIDINE,Autism Spectrum Disorder,ADRA2C
CLONIDINE,Substance Use Disorders,ADRA2C
CLONIDINE,Post Traumatic Stress Disorder,ADRA2C
CLONIDINE,Anxiety Disorder,ADRA2C
DEXMEDETOMIDINE,Schizophrenia,ADRA2C
DEXMEDETOMIDINE,Autism Spectrum Disorder,ADRA2C
DEXMEDETOMIDINE,Substance Use Disorders,ADRA2C
DEXMEDETOMIDINE,Alzheimer’s Disease,ADRA2C
DEXMEDETOMIDINE,Anxiety Disorder,ADRA2C
IDAZOXAN,Major Depressive Disorder,ADRA2C
IDAZOXAN,Alzheimer’s Disease,ADRA2C
GUANFACINE,OCD & Tourette Syndrome,ADRA2C
GUANFACINE,Attention Deficit Hyperactivity Disorder,ADRA2C
GUANFACINE,Alzheimer’s Disease,ADRA2C
GUANFACINE,Post Traumatic Stress Disorder,ADRA2C
GUANFACINE,Substance Use Disorders,ADRA2C
MIRTAZAPINE,Major Depressive Disorder,ADRA2C
MIRTAZAPINE,Substance Use Disorders,ADRA2C
MIRTAZAPINE,Schizophrenia,ADRA2C
MIRTAZAPINE,Autism Spectrum Disorder,ADRA2C
MIRTAZAPINE,Anxiety Disorder,ADRA2C
