Drug_id,Disease,Gene_name
DB00114,Eating Disorders,KMO
DB00114,Eating Disorders,ABAT
DB00119,Eating Disorders,ABAT
DB00313,Bipolar Disorder,ABAT
DB00780,Anxiety Disorder,ABAT
DB00114,Eating Disorders,FDX1
DB00114,Eating Disorders,FUT8
DB00114,Eating Disorders,F2
DB00668,Eating Disorders,F2
DB01592,Eating Disorders,F2
DB00114,Eating Disorders,GOT1
DB00116,Eating Disorders,TYMS
DB00118,Major Depressive Disorder,MAT2A
DB00118,Major Depressive Disorder,CYP2E1
DB00132,Eating Disorders,CYP2E1
DB00477,Attention Deficit Hyperactivity Disorder,CYP2E1
DB00679,Anxiety Disorder,CYP2E1
DB01151,Attention Deficit Hyperactivity Disorder,CYP2E1
DB00118,Major Depressive Disorder,CBS
DB00118,Major Depressive Disorder,COMT
DB00295,Substance Use Disorders,COMT
DB00118,Major Depressive Disorder,UBE2I
DB00119,Eating Disorders,DLD
DB00157,Alzheimer’s Disease,DLD
DB00119,Eating Disorders,PDHX
DB00157,Alzheimer’s Disease,PDHX
DB00119,Eating Disorders,PDHB
DB00157,Alzheimer’s Disease,PDHB
DB00119,Eating Disorders,DLAT
DB00157,Alzheimer’s Disease,DLAT
DB00119,Eating Disorders,PDHA1
DB00157,Alzheimer’s Disease,PDHA1
DB00668,Eating Disorders,PDHA1
DB00119,Eating Disorders,VEGFA
DB00201,Major Depressive Disorder,VEGFA
DB00755,Eating Disorders,VEGFA
DB00843,Alzheimer’s Disease,VEGFA
DB01065,Anxiety Disorder,VEGFA
DB01356,Bipolar Disorder,VEGFA
DB00120,Major Depressive Disorder,PAH
DB00668,Eating Disorders,PAH
DB00120,Major Depressive Disorder,HMGA1
DB00120,Major Depressive Disorder,SYK
DB00120,Major Depressive Disorder,AK1
DB00120,Major Depressive Disorder,CRH
DB00150,Major Depressive Disorder,CRH
DB00472,Bipolar Disorder,CRH
DB00668,Eating Disorders,CRH
DB01183,Major Depressive Disorder,CRH
DB00120,Major Depressive Disorder,MMP9
