Drug_id,Disease,Gene_name
CHEMBL930,Anxiety Disorder,GLS
CHEMBL930,Anxiety Disorder,GLS
CHEMBL930,Anxiety Disorder,GLS
CHEMBL930,Anxiety Disorder,GLS
CHEMBL930,Anxiety Disorder,DDIT3
CHEMBL930,Anxiety Disorder,DDIT3
CHEMBL930,Anxiety Disorder,IGF2
CHEMBL930,Anxiety Disorder,IGF2
CHEMBL930,Anxiety Disorder,IGF2
CHEMBL930,Anxiety Disorder,COL18A1
CHEMBL930,Anxiety Disorder,COL18A1
CHEMBL930,Anxiety Disorder,COL18A1
CHEMBL930,Anxiety Disorder,MYC
CHEMBL930,Anxiety Disorder,MYC
CHEMBL930,Anxiety Disorder,MYC
CHEMBL930,Anxiety Disorder,SLC1A5
CHEMBL930,Anxiety Disorder,SLC1A5
CHEMBL930,Anxiety Disorder,SLC1A5
CHEMBL930,Anxiety Disorder,GPRC6A
CHEMBL930,Anxiety Disorder,GPRC6A
CHEMBL930,Anxiety Disorder,GPRC6A
CHEMBL930,Anxiety Disorder,GPRC6A
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,MAPK8
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,BCL2
CHEMBL47,Alzheimer’s Disease,DDIT3
CHEMBL47,Alzheimer’s Disease,DDIT3
CHEMBL47,Alzheimer’s Disease,CCND1
CHEMBL47,Alzheimer’s Disease,CCND1
CHEMBL47,Alzheimer’s Disease,CCND1
CHEMBL47,Alzheimer’s Disease,CCND1
CHEMBL47,Alzheimer’s Disease,CCND1
CHEMBL47,Alzheimer’s Disease,TGFB1
CHEMBL47,Alzheimer’s Disease,TGFB1
CHEMBL47,Alzheimer’s Disease,TGFB1
CHEMBL47,Alzheimer’s Disease,TGFB1
CHEMBL47,Alzheimer’s Disease,TGFB1
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,CXCR2
CHEMBL47,Alzheimer’s Disease,APOB
CHEMBL47,Alzheimer’s Disease,APOB
CHEMBL47,Alzheimer’s Disease,APOB
CHEMBL47,Alzheimer’s Disease,APOB
CHEMBL47,Alzheimer’s Disease,GSTP1
CHEMBL47,Alzheimer’s Disease,GSTP1
CHEMBL47,Alzheimer’s Disease,GSTP1
CHEMBL47,Alzheimer’s Disease,GSTP1
CHEMBL47,Alzheimer’s Disease,GSTP1
CHEMBL47,Alzheimer’s Disease,CCN2
CHEMBL47,Alzheimer’s Disease,CCN2
CHEMBL47,Alzheimer’s Disease,CCN2
CHEMBL47,Alzheimer’s Disease,CCN2
CHEMBL47,Alzheimer’s Disease,CCN2
CHEMBL47,Alzheimer’s Disease,XRCC1
CHEMBL47,Alzheimer’s Disease,XRCC1
CHEMBL47,Alzheimer’s Disease,PLTP
CHEMBL47,Alzheimer’s Disease,PLTP
CHEMBL47,Alzheimer’s Disease,PLTP
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,CYP3A4
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,HTR1A
CHEMBL814,OCD & Tourette Syndrome,CYP1A2
CHEMBL814,OCD & Tourette Syndrome,CYP1A2
CHEMBL814,OCD & Tourette Syndrome,CYP1A2
CHEMBL814,OCD & Tourette Syndrome,CYP1A2
CHEMBL814,OCD & Tourette Syndrome,CYP2C9
CHEMBL814,OCD & Tourette Syndrome,CYP2C9
CHEMBL814,OCD & Tourette Syndrome,CYP2C9
CHEMBL814,OCD & Tourette Syndrome,CYP2C9
CHEMBL814,OCD & Tourette Syndrome,CYP2C9
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,HTR2A
CHEMBL814,OCD & Tourette Syndrome,SLC6A4
CHEMBL814,OCD & Tourette Syndrome,SLC6A4
CHEMBL814,OCD & Tourette Syndrome,SLC6A4
CHEMBL814,OCD & Tourette Syndrome,SLC6A4
CHEMBL814,OCD & Tourette Syndrome,CYP2D6
CHEMBL814,OCD & Tourette Syndrome,CYP2D6
CHEMBL814,OCD & Tourette Syndrome,CYP2D6
CHEMBL814,OCD & Tourette Syndrome,CYP2D6
CHEMBL814,OCD & Tourette Syndrome,CYP2D6
CHEMBL814,OCD & Tourette Syndrome,CYP2C19
CHEMBL814,OCD & Tourette Syndrome,CYP2C19
CHEMBL814,OCD & Tourette Syndrome,CYP2C19
CHEMBL814,OCD & Tourette Syndrome,CYP2C19
CHEMBL814,OCD & Tourette Syndrome,COMT
CHEMBL814,OCD & Tourette Syndrome,COMT
CHEMBL814,OCD & Tourette Syndrome,COMT
CHEMBL814,OCD & Tourette Syndrome,COMT
CHEMBL814,OCD & Tourette Syndrome,COMT
CHEMBL814,OCD & Tourette Syndrome,FGF2
CHEMBL814,OCD & Tourette Syndrome,FGF2
CHEMBL814,OCD & Tourette Syndrome,FGF2
CHEMBL814,OCD & Tourette Syndrome,FGF2
CHEMBL814,OCD & Tourette Syndrome,FGF2
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,SIGMAR1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,ABCB1
CHEMBL814,OCD & Tourette Syndrome,MDGA2
CHEMBL814,OCD & Tourette Syndrome,MDGA2
CHEMBL405,Attention Deficit Hyperactivity Disorder,CYP2D6
CHEMBL405,Attention Deficit Hyperactivity Disorder,CYP2D6
CHEMBL405,Attention Deficit Hyperactivity Disorder,CYP2D6
CHEMBL405,Attention Deficit Hyperactivity Disorder,CYP2D6
CHEMBL405,Attention Deficit Hyperactivity Disorder,CYP2D6
CHEMBL405,Attention Deficit Hyperactivity Disorder,DRD2
CHEMBL405,Attention Deficit Hyperactivity Disorder,DRD2
CHEMBL405,Attention Deficit Hyperactivity Disorder,DRD2
CHEMBL405,Attention Deficit Hyperactivity Disorder,DRD2
CHEMBL405,Attention Deficit Hyperactivity Disorder,DRD2
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA2A
CHEMBL405,Attention Deficit Hyperactivity Disorder,NAT1
CHEMBL405,Attention Deficit Hyperactivity Disorder,NAT1
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA5A
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA5A
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA5A
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA5A
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA5A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,ADRA1A
CHEMBL405,Attention Deficit Hyperactivity Disorder,GFAP
CHEMBL405,Attention Deficit Hyperactivity Disorder,GFAP
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC6A3
CHEMBL405,Attention Deficit Hyperactivity Disorder,TAAR1
CHEMBL405,Attention Deficit Hyperactivity Disorder,TAAR1
CHEMBL405,Attention Deficit Hyperactivity Disorder,TAAR1
CHEMBL405,Attention Deficit Hyperactivity Disorder,TAAR1
CHEMBL405,Attention Deficit Hyperactivity Disorder,TAAR1
CHEMBL405,Attention Deficit Hyperactivity Disorder,OPRM1
CHEMBL405,Attention Deficit Hyperactivity Disorder,OPRM1
CHEMBL405,Attention Deficit Hyperactivity Disorder,OPRM1
CHEMBL405,Attention Deficit Hyperactivity Disorder,OPRM1
CHEMBL405,Attention Deficit Hyperactivity Disorder,OPRM1
CHEMBL405,Attention Deficit Hyperactivity Disorder,KAT2B
CHEMBL405,Attention Deficit Hyperactivity Disorder,KAT2B
CHEMBL405,Attention Deficit Hyperactivity Disorder,KAT2B
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,SLC18A2
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA7
CHEMBL405,Attention Deficit Hyperactivity Disorder,CA7
